title,country,genres,language,writer_count,title_adaption,censor_rating,release_date,runtime,dvd_release_date,users_votes,comments,likes,overall_views,dislikes,ratings_imdb,ratings_tomatoes,ratings_metacritic,special_award,awards_win,awards_nomination,revenue_category
Redemption ,"UK, USA","Action, Crime, Drama, Thriller","English, Polish, Cantonese, Italian",1.0,False,R,28-Jun-13,100 min,,"61,432",1870.0,18327.0,12124352.0,1046.0,6.2/10,49%,43/100,0,0,0,Low
Jobs ,"USA, Switzerland","Biography, Drama",English,1.0,False,PG-13,16-Aug-13,128 min,26-Nov-13,"88,597",2189.0,13050.0,2255633.0,915.0,5.9/10,28%,44/100,0,0,2,High
"Painting, The ","France, Belgium, Canada","Animation, Adventure, Drama, Family, Fantasy",French,4.0,False,Not Rated,10-May-13,76 min,,"3,298",9.0,203.0,57751.0,6.0,7.4/10,82%,70/100,0,1,3,Low
A Walk in the Woods ,USA,"Adventure, Biography, Comedy, Drama",English,3.0,True,R,02-Sep-15,104 min,29-Dec-15,"21,863",171.0,1223.0,967184.0,104.0,6.3/10,46%,51/100,0,0,1,High
Bratz: The Movie ,USA,"Comedy, Family, Music","English, Spanish",3.0,True,PG,03-Aug-07,110 min,27-Nov-07,"16,668",47.0,83.0,189428.0,20.0,3.0/10,9%,21/100,0,0,5,High
Next ,USA,"Action, Adventure, Crime, Fantasy, Sci-Fi, Thriller","English, French, German, Serbian",5.0,True,PG-13,27-Apr-07,96 min,25-Sep-07,"1,40,110",5.0,111.0,143781.0,9.0,6.2/10,28%,42/100,0,2,3,High
Superbad ,USA,Comedy,English,2.0,False,R,17-Aug-07,113 min,04-Dec-07,"4,84,102",,,,,7.6/10,87%,76/100,0,11,24,High
"Skeleton Key, The ","USA, Germany","Drama, Horror, Mystery, Thriller","English, French",1.0,False,PG-13,12-Aug-05,104 min,15-Nov-05,"99,795",356.0,1921.0,1098342.0,120.0,6.5/10,37%,47/100,0,0,5,High
Head Over Heels ,USA,"Comedy, Mystery, Romance","English, Russian",6.0,True,PG-13,02-Feb-01,86 min,31-Jul-01,"13,077",70.0,1684.0,649656.0,46.0,5.4/10,10%,27/100,0,0,0,High
London River ,"UK, France, Algeria","Drama, Mystery","English, French, Arabic",3.0,True,Not Rated,23-Sep-09,84 min,05-Mar-12,"3,431",23.0,132.0,191592.0,9.0,6.8/10,91%,67/100,0,4,4,Low
Killer Elite ,"UK, Australia","Action, Crime, Thriller","English, Arabic, French, Spanish",2.0,True,R,23-Sep-11,116 min,10-Jan-12,"1,17,832",1302.0,4080.0,4009117.0,196.0,6.5/10,26%,44/100,0,2,7,High
Tyler Perry's Daddy's Little Girls ,USA,"Drama, Romance",English,1.0,False,PG-13,14-Feb-07,100 min,12-Jun-07,"6,638",,,,,5.6/10,26%,49/100,0,0,1,High
Scarface ,USA,"Crime, Drama","English, Spanish",1.0,True,R,09-Dec-83,170 min,30-Sep-03,"6,66,883",2.0,65.0,20330.0,1.0,8.3/10,81%,65/100,1,0,4,Low
Trust ,USA,"Crime, Drama, Thriller",English,2.0,False,R,28-Apr-11,106 min,26-Jul-11,"39,324",285.0,639.0,963134.0,71.0,6.9/10,78%,60/100,0,1,3,Low
Personal Velocity ,USA,"Drama, Romance",English,2.0,True,R,20-Dec-02,86 min,18-Mar-03,"3,222",,,,,6.6/10,69%,70/100,0,6,5,Low
Goon ,"USA, Canada","Comedy, Drama, Sport","English, French",4.0,True,R,24-Feb-12,92 min,29-May-12,"79,854",0.0,8.0,11564.0,0.0,6.8/10,82%,64/100,0,1,13,Low
Amelia ,"USA, Canada","Adventure, Biography, Drama, Romance",English,4.0,True,PG,23-Oct-09,111 min,02-Feb-10,"11,318",439.0,1828.0,1572255.0,141.0,5.8/10,20%,37/100,0,3,4,High
Headhunters ,"Norway, Sweden, Denmark, Germany","Action, Crime, Thriller","Norwegian, Danish, Russian, English",3.0,True,R,26-Aug-11,96 min,28-Aug-12,"91,317",54.0,149.0,178226.0,6.0,7.6/10,93%,72/100,1,8,11,Low
Bronson ,"UK, Cayman Islands","Action, Biography, Crime, Drama",English,2.0,True,R,13-Mar-09,92 min,09-Feb-10,"1,09,800",284.0,4643.0,1590863.0,215.0,7.1/10,76%,71/100,0,3,6,Low
How the Grinch Stole Christmas ,USA,"Comedy, Family, Fantasy",English,3.0,True,PG,17-Nov-00,104 min,20-Nov-01,"1,83,494",21.0,102.0,79060.0,13.0,6.1/10,51%,46/100,1,17,37,High
Shadow Dancer ,"UK, Ireland","Drama, Thriller",English,2.0,True,R,24-Aug-12,101 min,20-Aug-13,"11,444",55.0,172.0,361334.0,28.0,6.2/10,83%,71/100,0,8,8,Low
"Perfect Getaway, A ",USA,"Adventure, Mystery, Thriller",English,1.0,False,R,07-Aug-09,98 min,29-Dec-09,"63,775",36.0,86.0,182274.0,10.0,6.5/10,62%,63/100,0,0,1,High
Ghajini ,India,"Action, Drama, Mystery, Thriller","Hindi, Urdu",4.0,True,Not Rated,24-Dec-08,183 min,24-Mar-09,"51,224",37.0,538.0,327816.0,37.0,7.3/10,50%,0,0,7,18,Low
Girl in Progress ,USA,"Comedy, Drama","English, Spanish",1.0,True,PG-13,10-Aug-12,93 min,11-Sep-12,"6,193",0.0,6.0,15880.0,0.0,5.6/10,32%,45/100,0,6,4,Low
Hostel ,"USA, Germany, Czech Republic, Slovakia, Iceland","Horror, Mystery, Thriller","English, Czech, German, Dutch, Slovak, Japanese, Icelandic, Russian, Spanish",1.0,False,R,06-Jan-06,94 min,18-Apr-06,"1,58,178",995.0,3324.0,2728269.0,429.0,5.9/10,61%,55/100,0,4,12,High
Peaceful Warrior ,"USA, Germany","Drama, Romance, Sport",English,2.0,True,PG-13,23-Jun-06,120 min,26-Jun-07,"24,748",221.0,3249.0,1213364.0,73.0,7.3/10,25%,40/100,0,0,0,Low
Puncture ,USA,"Biography, Drama","English, French",3.0,True,R,15-Mar-12,100 min,03-Jan-12,"21,477",1.0,10.0,36728.0,1.0,6.9/10,52%,54/100,0,2,0,Low
Pearl Jam Twenty ,USA,"Documentary, History, Music",English,1.0,False,Not Rated,21-Oct-11,109 min,14-Nov-11,"7,262",,,,,8.3/10,68%,59/100,0,0,3,Low
"Young Black Stallion, The ",USA,"Adventure, Family, Drama",English,4.0,True,G,25-Dec-03,50 min,21-Dec-04,960,,,,,5.7/10,45%,51/100,0,0,1,High
C.S.A.: The Confederate States of America ,USA,"Comedy, Drama, War",English,1.0,False,PG-13,24-Jun-05,89 min,08-Aug-06,"4,492",361.0,572.0,175625.0,382.0,6.4/10,80%,62/100,0,1,2,Low
Tyler Perry's Madea's Witness Protection ,USA,"Comedy, Crime, Drama",English,2.0,True,PG-13,29-Jun-12,114 min,23-Oct-12,"9,485",,,,,5.0/10,19%,42/100,0,1,5,High
Poseidon ,USA,"Action, Adventure, Drama, Thriller","English, Spanish",2.0,True,PG-13,12-May-06,98 min,22-Aug-06,"91,880",158.0,1856.0,517168.0,91.0,5.6/10,33%,50/100,1,0,6,High
Auto Focus ,USA,"Biography, Crime, Drama",English,2.0,True,R,01-Nov-02,105 min,18-Mar-03,"12,400",0.0,,97079.0,,6.6/10,72%,66/100,0,0,6,Low
Thin Ice ,USA,"Comedy, Crime, Drama",English,2.0,False,R,25-Jan-11,93 min,12-Jun-12,"4,377",,,,,6.2/10,69%,60/100,0,0,0,Low
"Recruit, The ",USA,"Action, Thriller","English, Persian, Russian",3.0,False,PG-13,31-Jan-03,115 min,27-May-03,"1,24,167",,,,,6.6/10,43%,56/100,0,0,2,High
Nicholas Nickleby ,"UK, USA","Adventure, Drama, Romance",English,2.0,True,PG,27-Jun-03,132 min,22-Jul-03,"10,785",,,,,7.2/10,78%,71/100,1,1,4,Low
Nymphomaniac: Volume I ,"Denmark, Germany, Belgium, UK, France, Sweden, USA",Drama,English,1.0,False,Not Rated,06-Mar-14,117 min,,"1,06,955",213.0,4682.0,5477457.0,1272.0,6.9/10,75%,64/100,0,14,28,Low
Piranha 3DD ,USA,"Comedy, Horror",English,5.0,True,R,11-May-12,83 min,04-Sep-12,"36,957",2720.0,4261.0,7226680.0,2262.0,3.7/10,13%,24/100,0,2,5,Low
Step Up 2 the Streets ,USA,"Drama, Music, Romance","English, Russian",3.0,True,PG-13,14-Feb-08,98 min,15-Jul-08,"75,932",523.0,2972.0,3605335.0,157.0,6.3/10,27%,50/100,0,2,3,High
Kick-Ass 2 ,"USA, UK","Action, Comedy, Crime",English,3.0,True,R,16-Aug-13,103 min,17-Dec-13,"2,38,376",,,,,6.6/10,32%,41/100,0,1,7,High
Goodbye Solo ,USA,Drama,"English, French, Wolof, Spanish",2.0,False,R,26-Aug-09,91 min,25-Aug-09,"5,378",0.0,2.0,3144.0,1.0,7.4/10,93%,89/100,0,4,7,Low
In the House ,France,"Drama, Mystery, Thriller",French,2.0,True,R,10-Oct-12,105 min,,"27,327",91.0,1055.0,795804.0,86.0,7.4/10,88%,72/100,0,9,22,Low
"Food, Inc. ",USA,Documentary,English,3.0,False,PG,31-Jul-09,94 min,03-Nov-09,"47,656",93.0,349.0,163931.0,25.0,7.8/10,95%,80/100,1,7,19,Low
Hustle & Flow ,USA,"Crime, Drama, Music",English,1.0,False,R,22-Jul-05,116 min,10-Jan-06,"36,719",,,666133.0,,7.4/10,82%,68/100,1,25,46,High
Homefront ,USA,"Action, Thriller",English,2.0,True,R,27-Nov-13,100 min,11-Mar-14,"98,128",2583.0,24958.0,9340776.0,881.0,6.5/10,42%,40/100,0,0,1,High
License to Wed ,"USA, Australia","Comedy, Romance",English,5.0,True,PG-13,03-Jul-07,91 min,30-Oct-07,"36,178",32.0,527.0,257661.0,29.0,5.3/10,7%,25/100,0,0,1,High
"Hangover Part II, The ","USA, Thailand","Comedy, Mystery","English, Thai",5.0,True,R,26-May-11,102 min,06-Dec-11,"4,32,068",1928.0,6221.0,4603606.0,328.0,6.5/10,33%,44/100,0,5,18,High
Hope Floats ,USA,"Drama, Romance",English,1.0,False,PG-13,29-May-98,114 min,08-Jan-02,"22,466",,,,,6.0/10,26%,42/100,0,3,9,High
Where the Wild Things Are ,"Germany, Australia, USA","Adventure, Drama, Family, Fantasy",English,3.0,True,PG,16-Oct-09,101 min,02-Mar-10,"96,325",532.0,3427.0,743392.0,105.0,6.8/10,73%,71/100,1,7,53,High
Shopgirl ,USA,"Drama, Romance","English, Japanese",2.0,True,R,04-Nov-05,106 min,25-Apr-06,"22,619",102.0,549.0,482513.0,26.0,6.4/10,60%,62/100,0,1,7,High
Like Stars on Earth ,India,"Drama, Family","Hindi, English",2.0,True,PG,21-Dec-07,165 min,12-Jan-10,"1,43,146",62.0,1245.0,532652.0,144.0,8.4/10,91%,0,0,14,15,Low
Contagion ,"United Arab Emirates, USA","Action, Drama, Thriller","English, Mandarin, Cantonese",1.0,False,PG-13,09-Sep-11,106 min,03-Jan-12,"2,01,723",5375.0,13752.0,8936813.0,1168.0,6.6/10,84%,70/100,0,2,13,High
Coco Before Chanel ,"France, Belgium","Biography, Drama","French, English",3.0,True,PG-13,06-Nov-09,105 min,16-Feb-10,"36,498",,,,,6.7/10,63%,65/100,1,5,19,High
Last Days Here ,USA,"Documentary, Music",English,,False,Not Rated,29-Apr-11,91 min,31-Jul-12,"1,638",71.0,671.0,174922.0,27.0,7.5/10,86%,71/100,0,1,4,Low
"Hunter, The ",Australia,"Adventure, Drama, Thriller",English,4.0,True,R,06-Oct-11,100 min,03-Jul-12,"34,841",350.0,1132.0,1904816.0,104.0,6.8/10,72%,63/100,0,4,23,Low
Bella ,"USA, Mexico","Drama, Romance","English, Spanish",3.0,False,PG-13,30-Nov-07,91 min,07-May-08,"10,098",201.0,1119.0,772361.0,37.0,7.3/10,42%,47/100,0,6,0,High
Tell No One ,France,"Crime, Drama, Mystery, Romance, Thriller",French,3.0,True,Not Rated,01-Nov-06,131 min,31-Mar-09,"46,575",56.0,203.0,270223.0,17.0,7.5/10,94%,82/100,0,12,15,High
Milk ,USA,"Biography, Drama",English,1.0,False,R,30-Jan-09,128 min,10-Mar-09,"1,56,076",,1540.0,710192.0,157.0,7.6/10,93%,84/100,1,61,141,High
Chandni Chowk to China ,"India, USA","Action, Comedy","Hindi, Cantonese, English",4.0,False,PG-13,16-Jan-09,154 min,05-May-09,"7,064",3.0,87.0,73913.0,16.0,4.0/10,42%,44/100,0,0,4,Low
"Education, An ","UK, USA",Drama,"English, French",2.0,True,PG-13,05-Feb-10,100 min,30-Mar-10,"1,22,916",5.0,38.0,54443.0,2.0,7.3/10,95%,85/100,1,35,91,High
Sleeping Beauty ,Australia,"Drama, Romance, Thriller",English,2.0,True,Not Rated,02-Dec-11,101 min,10-Apr-12,"29,247",,,,,5.3/10,48%,57/100,0,5,29,Low
"Giant Mechanical Man, The ","USA, Poland","Comedy, Drama, Romance",English,1.0,False,PG-13,27-Apr-12,94 min,09-Oct-12,"8,882",70.0,450.0,244658.0,37.0,6.7/10,70%,43/100,0,0,0,Low
Everything Must Go ,USA,"Comedy, Drama",English,2.0,True,R,14-Oct-11,97 min,06-Sep-11,"45,636",80.0,512.0,355930.0,51.0,6.4/10,73%,65/100,0,0,0,Low
Don 2 ,"India, Germany","Action, Crime, Thriller","Hindi, English, German",7.0,True,Not Rated,23-Dec-11,148 min,08-Jun-12,"46,573",8000.0,18969.0,5739548.0,1035.0,7.1/10,69%,49/100,0,2,6,Low
August Rush ,USA,"Drama, Music",English,4.0,True,PG,21-Nov-07,114 min,11-Mar-08,"98,701",19.0,421.0,144156.0,9.0,7.5/10,36%,38/100,1,4,10,High
"Producers, The ",USA,"Comedy, Musical",English,6.0,True,PG-13,25-Dec-05,134 min,16-May-06,"38,598",18.0,203.0,39325.0,11.0,6.4/10,50%,52/100,1,1,13,High
Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan ,"USA, UK",Comedy,"English, Romanian, Hebrew, Polish, Armenian",9.0,True,R,03-Nov-06,84 min,06-Mar-07,"3,32,626",,,,,7.3/10,91%,89/100,1,20,33,High
Afternoon Delight ,USA,"Comedy, Drama",English,1.0,False,R,11-Dec-13,98 min,18-Feb-14,"8,941",561.0,7074.0,4855710.0,557.0,5.8/10,66%,50/100,0,1,3,Low
Drift ,Australia,"Biography, Drama, Sport",English,3.0,True,R,02-Jul-13,113 min,16-Sep-13,"4,444",58.0,352.0,93560.0,89.0,6.3/10,32%,35/100,0,6,6,Low
Frances Ha ,"USA, Brazil","Comedy, Drama, Romance",English,2.0,False,R,23-Aug-13,86 min,12-Nov-13,"59,893",41.0,408.0,234406.0,17.0,7.4/10,92%,82/100,1,1,47,Low
Griff the Invisible ,Australia,"Comedy, Drama, Romance, Sci-Fi",English,1.0,False,PG-13,01-Mar-11,90 min,15-Nov-11,"4,429",38.0,110.0,76578.0,7.0,6.1/10,63%,49/100,0,1,1,Low
"Wolfman, The ",USA,"Drama, Fantasy, Horror, Thriller","English, Romany, Romanian, Ukrainian",3.0,True,R,12-Feb-10,103 min,01-Jun-10,"97,745",3.0,54.0,63306.0,5.0,5.8/10,35%,43/100,1,3,8,High
Match Point ,"UK, Ireland, Luxembourg","Drama, Romance, Thriller",English,1.0,False,R,20-Jan-06,124 min,25-Apr-06,"1,91,095",137.0,978.0,911277.0,96.0,7.6/10,76%,72/100,1,11,30,High
"Servant, The ",UK,Drama,English,2.0,True,UNRATED,16-Mar-64,116 min,22-Mar-03,"7,756",10.0,82.0,45937.0,6.0,7.9/10,89%,93/100,1,5,8,Low
Babylon A.D. ,"France, UK","Action, Adventure, Sci-Fi, Thriller","English, Russian",4.0,True,PG-13,29-Aug-08,90 min,06-Jan-09,"89,730",1095.0,2842.0,3616591.0,247.0,5.6/10,6%,26/100,0,0,1,High
Abandon ,"USA, Germany, Canada","Drama, Music, Mystery, Romance, Thriller","English, Italian",1.0,False,PG-13,18-Oct-02,99 min,18-Mar-03,"8,812",24.0,98.0,101690.0,6.0,4.9/10,16%,36/100,0,0,1,High
"Master, The ",USA,Drama,English,1.0,False,R,21-Sep-12,138 min,26-Feb-13,"1,31,521",,,,,7.1/10,84%,86/100,1,76,179,High
Harvest ,Germany,"Drama, Romance",German,1.0,True,NOT RATED,19-May-11,88 min,21-Jun-11,"1,700",16.0,204.0,77681.0,10.0,6.6/10,73%,0,0,1,1,Low
[REC] 4: Apocalypse ,Spain,"Horror, Thriller",Spanish,2.0,True,R,31-Oct-14,95 min,11-May-15,"14,247",245.0,1802.0,893043.0,118.0,5.4/10,71%,53/100,0,2,11,Low
"Nativity Story, The ",USA,"Drama, Family, History",English,1.0,False,PG,01-Dec-06,101 min,20-Mar-07,"9,364",0.0,,4477.0,,6.8/10,37%,52/100,0,3,3,High
Wedding Crashers ,USA,"Comedy, Romance",English,2.0,False,R,15-Jul-05,119 min,03-Jan-06,"3,14,940",2.0,82.0,88387.0,3.0,7.0/10,75%,64/100,0,11,11,High
Unconditional ,USA,"Biography, Crime, Drama",English,1.0,False,PG-13,21-Sep-12,92 min,03-Dec-13,"4,381",0.0,8.0,5297.0,0.0,7.2/10,73%,0,0,0,1,Low
"Four Times, The ","Italy, Germany, Switzerland",Drama,None,1.0,False,Not Rated,28-May-10,88 min,13-Sep-11,"3,311",18.0,87.0,90366.0,5.0,7.2/10,92%,80/100,0,14,12,Low
"Centenarian Who Climbed Out the Window and Vanished, The ","Sweden, Russia, UK, France, Spain, Germany","Adventure, Comedy","Swedish, German, English, Spanish, French, Russian",3.0,True,R,08-May-15,114 min,18-Aug-15,"35,475",19.0,290.0,143096.0,5.0,7.1/10,68%,58/100,1,6,8,Low
Lincoln ,"USA, India","Biography, Drama, History, War",English,2.0,True,PG-13,16-Nov-12,150 min,26-Mar-13,"2,28,680",1066.0,2470.0,1370278.0,247.0,7.4/10,89%,86/100,1,108,242,High
Charlotte's Web ,"USA, Germany, Australia","Comedy, Family, Fantasy",English,4.0,True,G,15-Dec-06,97 min,03-Apr-07,"33,633",18.0,829.0,574092.0,89.0,6.3/10,79%,68/100,0,9,11,High
[REC]² ,Spain,"Horror, Mystery, Thriller",Spanish,4.0,True,R,02-Oct-09,85 min,14-Jul-09,"63,684",22.0,67.0,70002.0,5.0,6.5/10,68%,52/100,0,5,3,Low
"Saddest Music in the World, The ",Canada,"Comedy, Musical","English, Spanish",3.0,True,R,12-May-05,100 min,16-Nov-04,"5,465",18.0,152.0,117753.0,40.0,7.2/10,79%,78/100,0,6,7,Low
Charlie and the Chocolate Factory ,"USA, UK, Australia","Adventure, Comedy, Family, Fantasy, Musical",English,2.0,True,PG,15-Jul-05,115 min,07-Nov-05,"3,90,209",22.0,260.0,175759.0,21.0,6.6/10,82%,72/100,1,14,50,High
Analyze That ,USA,"Comedy, Crime",English,5.0,True,R,06-Dec-02,96 min,13-May-03,"78,100",16.0,419.0,210391.0,21.0,5.9/10,27%,37/100,0,1,0,High
Marilyn Hotchkiss' Ballroom Dancing & Charm School ,USA,"Comedy, Drama, Musical, Romance",English,3.0,True,PG-13,12-Jan-06,103 min,04-Jul-06,"2,576",27.0,119.0,118697.0,3.0,6.6/10,22%,40/100,0,0,1,Low
Because of Winn-Dixie ,USA,"Comedy, Drama, Family",English,2.0,True,PG,18-Feb-05,106 min,09-Aug-05,"9,733",6.0,72.0,24182.0,5.0,6.4/10,55%,54/100,0,0,2,High
Shine a Light ,USA,"Documentary, Biography, Music",English,,False,PG-13,04-Apr-08,122 min,29-Jul-08,"10,484",,,158333.0,,7.2/10,85%,76/100,0,0,4,Low
"Incredible Burt Wonderstone, The ",USA,"Adventure, Comedy, Fantasy","English, Spanish",6.0,True,PG-13,15-Mar-13,100 min,25-Jun-13,"67,618",,,,,5.9/10,37%,44/100,0,1,4,High
Crossroads ,USA,"Comedy, Drama, Romance",English,1.0,False,PG-13,15-Feb-02,93 min,23-Jul-02,"36,967",,,1104371.0,,3.4/10,14%,27/100,0,2,15,High
"Prophet, A ","France, Italy","Crime, Drama","French, Arabic, Corsican",4.0,True,R,26-Mar-10,155 min,03-Aug-10,"87,823",37.0,97.0,195517.0,8.0,7.9/10,97%,90/100,1,48,49,Low
Be Cool ,USA,"Comedy, Crime, Music","English, Russian",2.0,True,PG-13,04-Mar-05,118 min,07-Jun-05,"64,753",6.0,74.0,99302.0,14.0,5.7/10,30%,37/100,0,1,13,High
Valentine's Day ,USA,"Comedy, Romance","English, Spanish, Russian, Italian",4.0,True,PG-13,12-Feb-10,125 min,18-May-10,"1,07,255",1.0,40.0,23574.0,2.0,5.7/10,18%,34/100,0,7,12,High
Mr. Brooks ,USA,"Crime, Drama, Thriller",English,2.0,False,R,01-Jun-07,120 min,23-Oct-07,"1,36,792",,,,,7.3/10,55%,45/100,0,0,2,High
"Happening, The ","USA, India","Mystery, Sci-Fi, Thriller","English, French",1.0,False,R,13-Jun-08,91 min,07-Oct-08,"1,86,184",1288.0,3327.0,2222196.0,385.0,5.0/10,18%,34/100,0,3,10,High
Catch and Release ,USA,"Comedy, Drama, Romance",English,1.0,False,PG-13,26-Jan-07,124 min,08-May-07,"21,885",0.0,1414.0,1022982.0,59.0,6.0/10,22%,43/100,0,0,0,High
"Day, The ",USA,"Action, Drama, Horror, Sci-Fi, Thriller",English,1.0,False,R,20-Sep-12,87 min,27-Nov-12,"11,687",51.0,167.0,269508.0,98.0,5.2/10,29%,41/100,0,0,2,Low
Mulholland Drive ,"France, USA","Drama, Mystery, Thriller","English, Spanish",1.0,False,R,19-Oct-01,147 min,09-Apr-02,"2,91,467",19.0,370.0,24286.0,2.0,8.0/10,83%,83/100,1,47,57,High
Focus ,"USA, Argentina","Comedy, Crime, Drama, Romance","English, Spanish",2.0,False,R,27-Feb-15,105 min,02-Jun-15,"1,92,350",426.0,4255.0,2815684.0,370.0,6.6/10,56%,56/100,0,0,3,High
Freedom Writers ,"Germany, USA","Biography, Crime, Drama","English, Spanish",3.0,True,PG-13,05-Jan-07,123 min,17-Apr-07,"62,013",747.0,2233.0,1166165.0,70.0,7.6/10,70%,64/100,0,2,1,High
Cloudy with a Chance of Meatballs 2 ,USA,"Animation, Adventure, Comedy, Family, Fantasy, Sci-Fi",English,8.0,True,PG,27-Sep-13,95 min,28-Jan-14,"80,775",0.0,7.0,31245.0,0.0,6.4/10,71%,59/100,0,0,16,High
50 First Dates ,USA,"Comedy, Drama, Romance","English, Hawaiian, Mandarin, None",1.0,False,PG-13,13-Feb-04,99 min,15-Jun-04,"3,03,772",710.0,5282.0,2924945.0,178.0,6.8/10,45%,48/100,0,6,10,High
Cuban Fury ,UK,"Comedy, Romance, Sport","English, Persian, Spanish",2.0,False,R,11-Apr-14,98 min,29-Jul-14,"16,957",52.0,708.0,422238.0,50.0,6.2/10,53%,52/100,0,1,0,Low
Big Star: Nothing Can Hurt Me ,USA,"Documentary, Music",English,,False,PG-13,15-Mar-12,113 min,26-Nov-13,"1,174",,,,,7.1/10,92%,69/100,0,0,0,Low
Battle of Los Angeles ,USA,"Action, Adventure, Sci-Fi, Thriller",English,1.0,False,PG-13,01-Mar-11,92 min,14-Jun-11,"4,668",438.0,157.0,223151.0,565.0,2.0/10,36%,0,0,0,0,High
Youth Without Youth ,"USA, Romania, France, Italy, Germany","Drama, Fantasy, Mystery, Romance","English, Sanskrit, German, French, Italian, Russian, Romanian, Mandarin, Latin, Armenian",2.0,True,R,26-Oct-07,124 min,13-May-08,"12,396",,,,,6.3/10,32%,43/100,0,1,1,Low
Unleashed ,"France, USA, UK","Action, Crime, Drama, Thriller",English,1.0,False,R,13-May-05,103 min,11-Oct-05,"93,897",4.0,47.0,58719.0,2.0,7.0/10,65%,58/100,0,0,1,High
Supermensch: The Legend of Shep Gordon ,USA,"Documentary, Biography, Music",English,,False,R,06-Jun-14,85 min,07-Oct-14,"3,008",0.0,0.0,1308.0,0.0,7.4/10,78%,64/100,0,3,8,Low
"Mothman Prophecies, The ",USA,"Drama, Horror, Mystery, Thriller",English,2.0,True,PG-13,25-Jan-02,119 min,04-Jun-02,"71,293",226.0,1090.0,433144.0,79.0,6.5/10,52%,52/100,0,1,2,High
Iron Man 2 ,USA,"Action, Adventure, Sci-Fi","English, French, Russian",5.0,True,PG-13,07-May-10,124 min,28-Sep-10,"6,57,233",345.0,5538.0,1261018.0,216.0,7.0/10,73%,57/100,1,7,42,High
"Jeff, Who Lives at Home ",USA,"Comedy, Drama",English,2.0,False,R,11-May-12,83 min,19-Jun-12,"60,048",358.0,1704.0,871928.0,126.0,6.5/10,77%,60/100,0,0,1,Low
Ruby Sparks ,USA,"Comedy, Drama, Fantasy, Romance","English, French",1.0,False,R,06-Sep-12,104 min,30-Oct-12,"90,958",96.0,2772.0,339771.0,71.0,7.2/10,79%,67/100,0,1,11,Low
A Home at the End of the World ,USA,"Drama, Romance",English,2.0,True,R,14-Oct-04,97 min,02-Nov-04,"12,778",7.0,222.0,47226.0,8.0,6.7/10,50%,59/100,0,1,4,Low
"Way, The ","Spain, USA","Adventure, Comedy, Drama","English, Spanish, French",2.0,True,PG-13,19-Nov-10,123 min,,"27,791",120.0,765.0,418143.0,26.0,7.4/10,83%,64/100,0,1,8,Low
Sunshine Cleaning ,USA,"Comedy, Drama","English, Spanish",1.0,False,R,17-Apr-09,91 min,25-Aug-09,"66,784",10.0,246.0,124507.0,13.0,6.9/10,74%,61/100,0,2,6,High
Don ,India,"Action, Crime, Thriller",Hindi,3.0,True,Not Rated,20-Oct-06,171 min,12-Dec-06,"31,693",368.0,7203.0,1658831.0,346.0,7.2/10,0,0,0,1,7,Low
Only God Forgives ,"Denmark, France, USA, Sweden, Belgium","Crime, Drama","English, Thai",1.0,False,R,22-May-13,90 min,22-Oct-13,"1,00,129",,,,,5.7/10,41%,37/100,0,14,19,Low
Arctic Tale ,USA,"Documentary, Family",English,3.0,False,G,17-Aug-07,96 min,01-Aug-17,"1,707",,,46992.0,,7.0/10,61%,64/100,0,1,1,Low
Town & Country ,USA,"Comedy, Romance",English,2.0,False,R,27-Apr-01,104 min,16-Oct-01,"4,472",,,38111.0,,4.4/10,13%,34/100,0,1,5,High
"American Haunting, An ","UK, Canada, Romania, USA","Drama, History, Horror, Mystery, Thriller",English,2.0,True,PG-13,05-May-06,83 min,24-Oct-06,"23,799",,,,,5.1/10,13%,38/100,0,0,5,High
"Door in the Floor, The ",USA,"Comedy, Drama",English,2.0,True,R,06-Aug-04,111 min,14-Dec-04,"14,682",,,,,6.7/10,67%,67/100,0,2,7,Low
Free The Mind ,"USA, Sweden, Netherlands, Australia, Finland, Denmark","Documentary, Adventure",English,2.0,True,NOT RATED,03-May-13,80 min,23-Sep-14,300,34.0,269.0,55392.0,15.0,6.3/10,73%,51/100,0,0,0,Low
"Diving Bell and the Butterfly, The ","France, USA","Biography, Drama",French,2.0,True,PG-13,01-Feb-08,112 min,29-Apr-08,"98,429",10.0,243.0,59126.0,15.0,8.0/10,94%,92/100,1,66,95,High
Over Her Dead Body ,USA,"Comedy, Fantasy, Romance",English,1.0,False,PG-13,01-Feb-08,95 min,06-May-08,"23,061",0.0,9.0,10612.0,3.0,5.2/10,15%,30/100,0,0,0,High
We Need to Talk About Kevin ,"UK, USA","Drama, Mystery, Thriller",English,3.0,True,R,21-Oct-11,112 min,29-May-12,"1,23,238",1903.0,6914.0,3009360.0,243.0,7.5/10,76%,68/100,1,27,62,Low
ATL ,USA,"Comedy, Crime, Drama, Music, Romance",English,2.0,True,PG-13,31-Mar-06,105 min,18-Jul-06,"10,290",60.0,608.0,281015.0,28.0,6.1/10,61%,63/100,0,0,7,High
"Golden Compass, The ","UK, USA","Adventure, Family, Fantasy","English, Icelandic, Russian, French",2.0,True,PG-13,07-Dec-07,113 min,29-Apr-08,"1,67,713",,,,,6.1/10,42%,51/100,1,6,32,High
